cluster_id,incident_title,event_type,business_function,primary_asset,scenario_title,scenario_statement,operational_impact,recovery_focus,evidence_count,evidence_strength,testing_candidate_flag,documentation_update_flag,runbook_review_flag,last_updated
CL-000001,"Understanding Batch Processing: Function, Benefits, and Historical Context - Investopedia",UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.615644
CL-000002,Major Players in the 2008 Financial Crisis: Where Are They Now? - Investopedia,UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.616301
CL-000003,HIPAA and Health Care Data Privacy - 2018 Year-in-Review - Mintz,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.616866
CL-000004,How CrowdStrike Protects Against Data-Wiping Malware - CrowdStrike,DESTRUCTIVE_CYBER_ATTACK,Security Operations,systems,DESTRUCTIVE_CYBER_ATTACK impacts Security Operations,"If DESTRUCTIVE_CYBER_ATTACK occurs affecting systems, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.617376
CL-000005,Detect CaddyWiper: Another Destructive Data Wiper to Attack Ukrainian Networks - SOC Prime,DESTRUCTIVE_CYBER_ATTACK,Security Operations,systems,DESTRUCTIVE_CYBER_ATTACK impacts Security Operations,"If DESTRUCTIVE_CYBER_ATTACK occurs affecting systems, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.617874
CL-000006,America’s Broken Criminal Legal System Contributes to Wealth Inequality - Center for American Progress,UNKNOWN,Order Processing,systems,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting systems, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.618418
CL-000007,Oracle Cloud and NetSuite hit by global outage - Techzine Global,OUTAGE_CLOUD_REGION,Order Processing,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.618929
CL-000008,Outage outrage! Why public cloud is putting data and business at risk - ERP Today,OUTAGE_CLOUD_REGION,Order Processing,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.619615
CL-000009,Continuous vetting: keep your finances in order - army.mil,UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.620181
CL-000010,Warehouse drones scan codes to help track inventory - Indianapolis Business Journal,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.620694
CL-000011,Major data center power failure (again): Cloudflare Code Orange tested - The Cloudflare Blog,UNKNOWN,Network Infrastructure,UNKNOWN,UNKNOWN impacts Network Infrastructure,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to network infrastructure.",Potential disruption to Network Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.621186
CL-000012,Week’s Second London Data Center Outage Disrupts Connectivity - Data Center Knowledge,OUTAGE_APPLICATION,Network Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.621725
CL-000013,POWER OUTAGE: Updates of the global situation - International Airport Review,OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.622245
CL-000014,Ukraine: Disk-wiping Attacks Precede Russian Invasion - SECURITY.COM,UNKNOWN,Security Operations,UNKNOWN,UNKNOWN impacts Security Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.622805
CL-000015,9 Regulations Reshaping Global Logistics: Here’s How to Decode Them - Inbound Logistics,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.623310
CL-000016,RFID Solutions Attract Attention for Medication Inventory Management - American Hospital Association,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.623835
CL-000017,Honeywell and Corvus Robotics Partner to Automate Warehouse Inventory Tracking - Dronelife,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.624348
CL-000018,Oracle Health data center maintenance triggered EHR outage at CHS - Healthcare IT News,OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.624832
CL-000019,UPS CEO issues grim delivery warning as service cuts 20k jobs & closes 17 sites - the-sun.com,UNKNOWN,Physical Infrastructure,UNKNOWN,UNKNOWN impacts Physical Infrastructure,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to physical infrastructure.",Potential disruption to Physical Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.625316
CL-000020,Don’t blame renewables for Spain’s power outage - Reuters,OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.625818
CL-000021,Malicious Go Modules Deliver Disk-Wiping Linux Malware in Advanced Supply Chain Attack - The Hacker News,UNKNOWN,Security Operations,UNKNOWN,UNKNOWN impacts Security Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.626324
CL-000022,Linux wiper malware hidden in malicious Go modules on GitHub - BleepingComputer,DESTRUCTIVE_CYBER_ATTACK,Security Operations,systems,DESTRUCTIVE_CYBER_ATTACK impacts Security Operations,"If DESTRUCTIVE_CYBER_ATTACK occurs affecting systems, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.626813
CL-000023,12 notable ERP implementation failures and why they failed - TechTarget,UNKNOWN,Order Processing,erp,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting erp, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.627315
CL-000024,"Google suffers cloud outage, causing disruptions for OpenAI, Shopify and other services - CNBC",OUTAGE_CLOUD_REGION,Identity & Access Management,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.627800
CL-000025,Anubis: A Closer Look at an Emerging Ransomware with Built-in Wiper - www.trendmicro.com,SECURITY_RANSOMWARE,Security Operations,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-17T17:38:49.628305
CL-000026,Dundee University bosses quit after damning report into financial collapse - BBC,UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.628792
CL-000027,AI chip power demands push data centers to get creative - qz.com,UNKNOWN,Network Infrastructure,UNKNOWN,UNKNOWN impacts Network Infrastructure,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to network infrastructure.",Potential disruption to Network Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.629308
CL-000028,Editorials: Top 16 Warehouse Automation Trends to Know | Cyngn - A3 Association for Advancing Automation,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.629852
CL-000029,Russian Supplier of Military Microelectronics Halts Operations - Мілітарний,UNKNOWN,Procurement & Supply Chain,UNKNOWN,UNKNOWN impacts Procurement & Supply Chain,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to procurement & supply chain.",Potential disruption to Procurement & Supply Chain,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.630418
CL-000030,How to get a risk management job in banking and finance - eFinancialCareers,UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.630920
CL-000031,Starlink outage: Service returns after over two hours down - Engadget,OUTAGE_APPLICATION,Network Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.631429
CL-000032,US National AI Policy: Practical Implications for U.S. Supply Chains - Logistics Viewpoints,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.631936
CL-000033,SpaceX probes for cause of Starlink's global satellite network outage - Reuters,OUTAGE_NETWORK,Network Infrastructure,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.632447
CL-000034,Elon Musk ‘sorry’ after Starlink satellite internet suffers global outage - Al Jazeera,OUTAGE_APPLICATION,Network Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.632970
CL-000035,"Portugal to invest $466 million to boost grid management, battery storage after outage - Reuters",OUTAGE_APPLICATION,Distribution Operations,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.633886
CL-000036,"Hacktivists, nation-state hackers target global maritime infrastructure as cyberattacks, GPS spoofing surge - Industrial Cyber",UNKNOWN,Cybersecurity,systems,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting systems, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.634440
CL-000037,Windows 10 End-of-Life: What It Means for HIPAA Compliance and Patient Data Security - HIT Consultant,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.634943
CL-000038,Navigating EU packaging regulations: Innovations in automotive logistics packaging - Automotive Logistics,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.635466
CL-000039,Musk's Starlink suffers apparent outage as SpaceX launches more satellites - CNBC,OUTAGE_APPLICATION,Network Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.635982
CL-000040,State network begins to come back online after second day of failures - South Dakota Searchlight,UNKNOWN,Network Infrastructure,network,UNKNOWN impacts Network Infrastructure,"If UNKNOWN occurs affecting network, potential disruption to network infrastructure.",Potential disruption to Network Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.636477
CL-000041,Unleashing the synergy of agentic AI and zero trust to secure the supply chain - Atos,UNKNOWN,Cybersecurity,UNKNOWN,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.636958
CL-000042,Federal data website outage raises concerns among advocates - Federal News Network,OUTAGE_NETWORK,Order Processing,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.637480
CL-000043,"Managing time and attendance: Update to Kronos transition plan, system outage scheduled - Clemson News",OUTAGE_APPLICATION,Order Processing,systems,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting systems, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.638020
CL-000044,"Managing time and attendance: Update to Kronos transition plan, system outage scheduled - Clemson News",OUTAGE_APPLICATION,Identity & Access Management,systems,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting systems, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.638698
CL-000045,Confronting Cyber Threats in Logistics Networks - Supply & Demand Chain Executive,UNKNOWN,Cybersecurity,UNKNOWN,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.639449
CL-000046,"JLR shuts IT systems, halts UK plant production after cyberattack - Automotive Manufacturing Solutions",CYBER_OPERATIONAL_DISRUPTION,IT Operations,systems,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting systems, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.640267
CL-000047,Jaguar Land Rover staff to stay at home after cyber attack - BBC,UNKNOWN,IT Operations,UNKNOWN,UNKNOWN impacts IT Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.640784
CL-000048,Disruption to Jaguar Land Rover after cyber-attack may last until October - The Guardian,CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.641306
CL-000049,DKSH Modernises Distribution Operations with Major Technology Upgrade - Nation Thailand,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.641830
CL-000050,"Jaguar Land Rover cyberattack deepens, with prolonged production outage, supply chain fallout - Industrial Cyber",OUTAGE_APPLICATION,IT Operations,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.642420
CL-000051,Mercantile Ports & Logistics starts legal action as refinancing talks fail - ET Infra,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.643021
CL-000052,"European airports snarled by cyberattack, disruption to stretch into Sunday - Reuters",CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.643740
CL-000053,Suspected cyberattack disrupts Circle K chain’s operations in Hong Kong - The Record from Recorded Future News,CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.644371
CL-000054,Brewer Asahi suspends domestic operations after cyberattack disrupts ordering and shipping - Industrial Cyber,CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.644957
CL-000055,Border services’ kiosk outage resolved at Canadian airports - CityNews Edmonton,OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.645589
CL-000056,"Cyberattack halts Asahi production, disrupts Japan’s beer supply - TradingView",UNKNOWN,IT Operations,UNKNOWN,UNKNOWN impacts IT Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.646178
CL-000057,Asahi Cyber Attack: A Warning for Manufacturing OT Security - Manufacturing Digital,CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.646708
CL-000058,Discord Reveals Data Breach Following Third-Party Compromise - Infosecurity Magazine,SECURITY_BREACH,Vendor Risk,UNKNOWN,SECURITY_BREACH impacts Vendor Risk,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to vendor risk.",Potential disruption to Vendor Risk,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.647216
CL-000059,"CEVA Logistics adds Manhattan WMS, OMS to global warehouse innovation initiative - Cargo Airports & Airline Services",UNKNOWN,Distribution Operations,wms,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting wms, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.647704
CL-000060,Microsoft 365 outage disrupts Teams and Exchange access globally - Techzine Global,OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.648245
CL-000061,"Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana",SECURITY_RANSOMWARE,Cybersecurity,systems,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting systems, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-17T17:38:49.648757
CL-000062,The Fight Against Ransomware Heats Up on the Factory Floor - Dark Reading,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-17T17:38:49.649514
CL-000063,Microsoft investigates outage affecting Microsoft 365 apps - BleepingComputer,OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.650280
CL-000064,Verizon Wireless Network Outage Affects a Number of U.S. Cities - Inside Towers,OUTAGE_NETWORK,Network Infrastructure,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.650844
CL-000065,AWS services recover after daylong outage hits major sites - CNBC,OUTAGE_APPLICATION,Transportation & Logistics,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.651722
CL-000066,"Amazon cloud computing outage disrupts Snapchat, Ring and many other online services - PBS",OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.652255
CL-000067,AWS services recover after daylong outage hits major sites - CNBC,OUTAGE_APPLICATION,Cloud Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.652763
CL-000068,Amazon Outage Forces Hundreds of Websites Offline for Hours - The New York Times,OUTAGE_APPLICATION,Cloud Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.653289
CL-000069,Outage at Amazon Web Services disrupts websites across the internet - NPR,OUTAGE_APPLICATION,Cloud Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.653795
CL-000070,AWS outage: Impact on Apps & Services - Panda Security - pandasecurity.com,OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.654270
CL-000071,Are Cybercriminals Targeting Transport and Supply Chains? - Cyber Magazine,UNKNOWN,Cybersecurity,UNKNOWN,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.654779
CL-000072,Microsoft: The Cyber Dangers for Manufacturers and Suppliers - Manufacturing Digital,UNKNOWN,Cybersecurity,UNKNOWN,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.655285
