cluster_id,incident_title,event_type,business_function,primary_asset,scenario_title,scenario_statement,operational_impact,recovery_focus,evidence_count,evidence_strength,testing_candidate_flag,documentation_update_flag,runbook_review_flag,last_updated,likelihood,impact,similarity,final_score
CL-000073,AWS Outage Highlights Cloud Dependency Risks in Supply Chains - Logistics Viewpoints,OUTAGE_CLOUD_REGION,Distribution Operations,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.285733,1,4,4,16
CL-000086,TRACKING RANSOMWARE : OCTOBER 2025 - cyfirma,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.299069,1,5,3,15
CL-000025,No title available,SECURITY_RANSOMWARE,Security Operations,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.260765,1,5,3,15
CL-000062,The Fight Against Ransomware Heats Up on the Factory Floor - Dark Reading,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.280643,1,5,3,15
CL-000061,"Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana",SECURITY_RANSOMWARE,Cybersecurity,systems,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting systems, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.280150,1,5,3,15
CL-000145,Top 10 ransomware targets by industry - TechTarget,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.330155,1,5,3,15
CL-000109,"Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber",SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.311701,1,5,3,15
CL-000169,Expanding ransomware reach intensifies sector-wide cyber exposure - Insurance Business,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.342124,1,5,3,15
CL-000142,Azure outage disrupts VMs and identity services for over 10 hours - Network World,OUTAGE_IDENTITY,Cloud Infrastructure,identity,Identity service outage disrupts workforce access,"If OUTAGE_IDENTITY occurs affecting identity, users cannot access systems, operations slow or stop.","Users cannot access systems, operations slow or stop","Restore identity services, enable break-glass access, validate authentication paths",1,Weak,True,True,True,2026-04-28T15:39:17.328729,1,5,3,15
CL-000066,"Amazon cloud computing outage disrupts Snapchat, Ring and many other online services - PBS",OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.282639,1,4,3,12
CL-000075,Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters,OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.286715,1,4,3,12
CL-000122,No title available,OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.318489,1,4,3,12
CL-000160,AWS UAE data center hit by outage following military strikes across the region - TechRadar,OUTAGE_CLOUD_REGION,Physical Infrastructure,region,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting region, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.337974,1,4,3,12
CL-000172,No title available,OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.343345,1,4,3,12
CL-000217,No title available,OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.364764,1,4,3,12
CL-000024,No title available,OUTAGE_CLOUD_REGION,Identity & Access Management,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.260365,1,4,3,12
CL-000074,AWS October 2025 Outage: What Financial Executives Must Learn About Cloud Risk Management - Financial Executives International,OUTAGE_CLOUD_REGION,Order Processing,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.286240,1,4,3,12
CL-000213,No title available,OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.363381,1,4,3,12
CL-000216,No title available,OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.364414,1,4,3,12
CL-000008,No title available,OUTAGE_CLOUD_REGION,Order Processing,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.252900,1,4,3,12
CL-000007,Oracle Cloud and NetSuite hit by global outage - Techzine Global,OUTAGE_CLOUD_REGION,Order Processing,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.252495,1,4,3,12
CL-000194,No title available,OUTAGE_APPLICATION,Vendor Risk,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",2,Medium,True,True,True,2026-04-28T15:39:17.355132,3,3,1,9
CL-000035,No title available,OUTAGE_APPLICATION,Distribution Operations,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.265218,1,3,2,6
CL-000206,Why maximum tolerable downtime is a key business metric - TechTarget,OUTAGE_APPLICATION,Distribution Operations,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.360535,1,3,2,6
CL-000079,AWS outage disrupts logistics platforms - Transport Intelligence,OUTAGE_APPLICATION,Distribution Operations,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.291080,1,3,2,6
CL-000081,No title available,OUTAGE_APPLICATION,Distribution Operations,endpoints,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting endpoints, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.292808,1,3,2,6
CL-000196,Warehouses face $100K-hour downtime risk as cloud outages mount - FreightWaves,OUTAGE_APPLICATION,Distribution Operations,cloud,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting cloud, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.356128,1,3,2,6
CL-000130,Verizon outage: Analysts and more weigh in - Fierce Network,OUTAGE_NETWORK,Network Infrastructure,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.323218,1,4,1,4
CL-000096,No title available,OUTAGE_NETWORK,Transportation & Logistics,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.305739,1,4,1,4
CL-000132,"The Verizon outage reveals the end of five-nine network reliability, and it could happen again - PhoneArena",OUTAGE_NETWORK,Network Infrastructure,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.324059,1,4,1,4
CL-000042,No title available,OUTAGE_NETWORK,Order Processing,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.269463,1,4,1,4
CL-000033,SpaceX probes for cause of Starlink's global satellite network outage - Reuters,OUTAGE_NETWORK,Network Infrastructure,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.264330,1,4,1,4
CL-000064,Verizon Wireless Network Outage Affects a Number of U.S. Cities - Inside Towers,OUTAGE_NETWORK,Network Infrastructure,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.281662,1,4,1,4
CL-000102,Frantic Friday: Network Outage Brings Delta's Detroit Hub To A Halt - Simple Flying,OUTAGE_NETWORK,Supplier Integration,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.308488,1,4,1,4
CL-000212,2026 network outage report and internet health check - Network World,OUTAGE_NETWORK,Cloud Infrastructure,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.363022,1,4,1,4
CL-000015,No title available,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.255769,1,3,1,3
CL-000014,No title available,UNKNOWN,Security Operations,UNKNOWN,UNKNOWN impacts Security Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.255399,1,3,1,3
CL-000017,No title available,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.257184,1,3,1,3
CL-000016,RFID Solutions Attract Attention for Medication Inventory Management - American Hospital Association,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.256507,1,3,1,3
CL-000013,No title available,OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.255036,1,3,1,3
CL-000030,How to get a risk management job in banking and finance - eFinancialCareers,UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.262989,1,3,1,3
CL-000018,No title available,OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.257587,1,3,1,3
CL-000019,No title available,UNKNOWN,Physical Infrastructure,UNKNOWN,UNKNOWN impacts Physical Infrastructure,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to physical infrastructure.",Potential disruption to Physical Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.257975,1,3,1,3
CL-000027,No title available,UNKNOWN,Network Infrastructure,UNKNOWN,UNKNOWN impacts Network Infrastructure,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to network infrastructure.",Potential disruption to Network Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.261640,1,3,1,3
CL-000026,Dundee University bosses quit after damning report into financial collapse - BBC,UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.261255,1,3,1,3
CL-000022,Linux wiper malware hidden in malicious Go modules on GitHub - BleepingComputer,DESTRUCTIVE_CYBER_ATTACK,Security Operations,systems,DESTRUCTIVE_CYBER_ATTACK impacts Security Operations,"If DESTRUCTIVE_CYBER_ATTACK occurs affecting systems, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.259523,1,3,1,3
CL-000023,12 notable ERP implementation failures and why they failed - TechTarget,UNKNOWN,Order Processing,erp,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting erp, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.260006,1,3,1,3
CL-000021,Malicious Go Modules Deliver Disk-Wiping Linux Malware in Advanced Supply Chain Attack - The Hacker News,UNKNOWN,Security Operations,UNKNOWN,UNKNOWN impacts Security Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.259017,1,3,1,3
CL-000020,Don’t blame renewables for Spain’s power outage - Reuters,OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.258494,1,3,1,3
CL-000032,No title available,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.263855,1,3,1,3
CL-000029,No title available,UNKNOWN,Procurement & Supply Chain,UNKNOWN,UNKNOWN impacts Procurement & Supply Chain,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to procurement & supply chain.",Potential disruption to Procurement & Supply Chain,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.262484,1,3,1,3
CL-000034,Elon Musk ‘sorry’ after Starlink satellite internet suffers global outage - Al Jazeera,OUTAGE_APPLICATION,Network Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.264858,1,3,1,3
CL-000036,No title available,UNKNOWN,Cybersecurity,systems,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting systems, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.265568,1,3,1,3
CL-000038,No title available,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.266849,1,3,1,3
CL-000037,Windows 10 End-of-Life: What It Means for HIPAA Compliance and Patient Data Security - HIT Consultant,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.266377,1,3,1,3
CL-000039,Musk's Starlink suffers apparent outage as SpaceX launches more satellites - CNBC,OUTAGE_APPLICATION,Network Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.268140,1,3,1,3
CL-000040,State network begins to come back online after second day of failures - South Dakota Searchlight,UNKNOWN,Network Infrastructure,network,UNKNOWN impacts Network Infrastructure,"If UNKNOWN occurs affecting network, potential disruption to network infrastructure.",Potential disruption to Network Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.268718,1,3,1,3
CL-000041,No title available,UNKNOWN,Cybersecurity,UNKNOWN,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.269102,1,3,1,3
CL-000043,"Managing time and attendance: Update to Kronos transition plan, system outage scheduled - Clemson News",OUTAGE_APPLICATION,Order Processing,systems,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting systems, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.270039,1,3,1,3
CL-000059,No title available,UNKNOWN,Distribution Operations,wms,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting wms, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.279128,1,3,1,3
CL-000058,No title available,SECURITY_BREACH,Vendor Risk,UNKNOWN,SECURITY_BREACH impacts Vendor Risk,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to vendor risk.",Potential disruption to Vendor Risk,Investigate recovery procedures,1,Weak,True,True,True,2026-04-28T15:39:17.278768,1,3,1,3
CL-000057,Asahi Cyber Attack: A Warning for Manufacturing OT Security - Manufacturing Digital,CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.278376,1,3,1,3
CL-000056,"Cyberattack halts Asahi production, disrupts Japan’s beer supply - TradingView",UNKNOWN,IT Operations,UNKNOWN,UNKNOWN impacts IT Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.277864,1,3,1,3
CL-000055,Border services’ kiosk outage resolved at Canadian airports - CityNews Edmonton,OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.277339,1,3,1,3
CL-000054,Brewer Asahi suspends domestic operations after cyberattack disrupts ordering and shipping - Industrial Cyber,CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.276754,1,3,1,3
CL-000053,No title available,CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.276189,1,3,1,3
CL-000052,"European airports snarled by cyberattack, disruption to stretch into Sunday - Reuters",CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.275639,1,3,1,3
CL-000051,No title available,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-28T15:39:17.274712,1,3,1,3
CL-000050,"Jaguar Land Rover cyberattack deepens, with prolonged production outage, supply chain fallout - Industrial Cyber",OUTAGE_APPLICATION,IT Operations,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-28T15:39:17.274174,1,3,1,3
